MolSmiles,Bio_Activity
c1ccc2c(c1)C(=C3C(=O)c4ccccc4N3)C(=O)N2,6.0
Cc1ccc2c(c1)C(=C3C(=O)c4ccccc4N3)C(=O)N2,7.2
c1ccc2c(c1)C(=O)C(=C3c4cc(ccc4NC3=O)F)N2,7.11
c1ccc2c(c1)C(=O)C(=C3c4cc(ccc4NC3=O)Cl)N2,7.3
c1ccc2c(c1)C(=O)C(=C3c4cc(ccc4NC3=O)Br)N2,7.26
c1ccc2c(c1)C(=O)C(=C3c4cc(ccc4NC3=O)N(=O)=O)N2,7.38
c1ccc2c(c1)C(=C3C(=O)c4cc(ccc4N3)Br)C(=O)N2,6.46
C=Cc1ccc2c(c1)NC(=O)C2=C3C(=O)c4ccccc4N3,6.62
c1ccc2c(c1)C(=O)C(=C3c4ccc(cc4NC3=O)F)N2,6.19
c1ccc2c(c1)C(=O)C(=C3c4ccc(cc4NC3=O)Cl)N2,6.85
c1ccc2c(c1)C(=O)C(=C3c4ccc(cc4NC3=O)Br)N2,7.35
c1ccc2c(c1)C(=O)C(=C3c4ccc(cc4NC3=O)I)N2,7.26
c1ccc2c(c1)C(=C3C(=O)c4ccc(cc4N3)Br)C(=O)N2,4.66
c1cc2c(cc1Br)C(=O)C(=C3c4cc(ccc4NC3=O)Br)N2,6.6
c1cc2c(cc1Br)NC(=O)C2=C3C(=O)c4ccc(cc4N3)Br,5.35
c1ccc2c(c1)C(=O)C(=C3c4cc(c(cc4NC3=O)Cl)Cl)N2,7.52
c1ccc2c(c1)C(=O)C(=C3c4cc(c(cc4NC3=O)Br)N(=O)=O)N2,7.0
Cc1cc2c(cc1Br)NC(=O)C2=C3C(=O)c4ccccc4N3,7.6
c1ccc2c(c1)C(=C3C(=NO)c4ccccc4N3)C(=O)N2,7.66
c1ccc2c(c1)C(=NO)C(=C3c4cc(ccc4NC3=O)I)N2,8.05
C=Cc1ccc2c(c1)NC(=O)C2=C3C(=NO)c4ccccc4N3,7.22
c1ccc2c(c1)C(=NO)C(=C3c4ccc(cc4NC3=O)F)N2,6.89
c1ccc2c(c1)C(=NO)C(=C3c4ccc(cc4NC3=O)Cl)N2,7.7
c1ccc2c(c1)C(=NO)C(=C3c4ccc(cc4NC3=O)Br)N2,8.3
c1ccc2c(c1)C(=NO)C(=C3c4ccc(cc4NC3=O)I)N2,8.0
c1ccc2c(c1)C(=C3C(=NO)c4ccc(cc4N3)Br)C(=O)N2,6.47
c1ccc2c(c1)C(=O)C(=C3c4cc(ccc4NC3=O)I)N2,7.17
c1cc2c(cc1Br)NC(=O)C2=C3C(=NO)c4ccc(cc4N3)Br,6.92
c1ccc2c(c1)C(=NO)C(=C3c4cc(c(cc4NC3=O)Cl)Cl)N2,6.92
Cc1cc2c(cc1Br)NC(=O)C2=C3C(=NO)c4ccccc4N3,8.22
c1ccc2c(c1)C(=NO)C(=C3c4cc(c(cc4NC3=O)Br)N(=O)=O)N2,8.15
CON=C1c2ccccc2NC1=C3c4ccccc4NC3=O,6.82
CON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)Br,7.52
CC(=O)ON=C1c2ccccc2NC1=C3c4ccccc4NC3=O,6.7
CC(=O)ON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)C=C,7.19
CC(=O)ON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)F,7.05
CC(=O)ON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)Cl,7.77
CC(=O)ON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)Br,8.0
CC(=O)ON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)I,7.89
CC(=O)ON=C1c2ccccc2NC1=C3c4cc(c(cc4NC3=O)Cl)Cl,8.4
Cc1cc2c(cc1Br)NC(=O)C2=C3C(=NOC(=O)C)c4ccccc4N3,8.15
CC(=O)ON=C1c2ccccc2NC1=C3c4cc(c(cc4NC3=O)Br)N(=O)=O,8.4
