MolSmiles,Bio_Activity
c1ccc2c(c1)C(=C3C(=O)c4ccccc4N3)C(=O)N2,0
Cc1ccc2c(c1)C(=C3C(=O)c4ccccc4N3)C(=O)N2,0
c1ccc2c(c1)C(=O)C(=C3c4cc(ccc4NC3=O)F)N2,0
c1ccc2c(c1)C(=O)C(=C3c4cc(ccc4NC3=O)Cl)N2,1
c1ccc2c(c1)C(=O)C(=C3c4cc(ccc4NC3=O)Br)N2,1
c1ccc2c(c1)C(=O)C(=C3c4cc(ccc4NC3=O)N(=O)=O)N2,1
c1ccc2c(c1)C(=C3C(=O)c4cc(ccc4N3)Br)C(=O)N2,0
C=Cc1ccc2c(c1)NC(=O)C2=C3C(=O)c4ccccc4N3,0
c1ccc2c(c1)C(=O)C(=C3c4ccc(cc4NC3=O)F)N2,0
c1ccc2c(c1)C(=O)C(=C3c4ccc(cc4NC3=O)Cl)N2,0
c1ccc2c(c1)C(=O)C(=C3c4ccc(cc4NC3=O)Br)N2,1
c1ccc2c(c1)C(=O)C(=C3c4ccc(cc4NC3=O)I)N2,1
c1ccc2c(c1)C(=C3C(=O)c4ccc(cc4N3)Br)C(=O)N2,0
c1cc2c(cc1Br)C(=O)C(=C3c4cc(ccc4NC3=O)Br)N2,0
c1cc2c(cc1Br)NC(=O)C2=C3C(=O)c4ccc(cc4N3)Br,0
c1ccc2c(c1)C(=O)C(=C3c4cc(c(cc4NC3=O)Cl)Cl)N2,1
c1ccc2c(c1)C(=O)C(=C3c4cc(c(cc4NC3=O)Br)N(=O)=O)N2,0
Cc1cc2c(cc1Br)NC(=O)C2=C3C(=O)c4ccccc4N3,1
c1ccc2c(c1)C(=C3C(=NO)c4ccccc4N3)C(=O)N2,1
c1ccc2c(c1)C(=NO)C(=C3c4cc(ccc4NC3=O)I)N2,1
C=Cc1ccc2c(c1)NC(=O)C2=C3C(=NO)c4ccccc4N3,0
c1ccc2c(c1)C(=NO)C(=C3c4ccc(cc4NC3=O)F)N2,0
c1ccc2c(c1)C(=NO)C(=C3c4ccc(cc4NC3=O)Cl)N2,1
c1ccc2c(c1)C(=NO)C(=C3c4ccc(cc4NC3=O)Br)N2,1
c1ccc2c(c1)C(=NO)C(=C3c4ccc(cc4NC3=O)I)N2,1
c1ccc2c(c1)C(=C3C(=NO)c4ccc(cc4N3)Br)C(=O)N2,0
c1ccc2c(c1)C(=O)C(=C3c4cc(ccc4NC3=O)I)N2,0
c1cc2c(cc1Br)NC(=O)C2=C3C(=NO)c4ccc(cc4N3)Br,0
c1ccc2c(c1)C(=NO)C(=C3c4cc(c(cc4NC3=O)Cl)Cl)N2,0
Cc1cc2c(cc1Br)NC(=O)C2=C3C(=NO)c4ccccc4N3,1
c1ccc2c(c1)C(=NO)C(=C3c4cc(c(cc4NC3=O)Br)N(=O)=O)N2,1
CON=C1c2ccccc2NC1=C3c4ccccc4NC3=O,0
CON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)Br,1
CC(=O)ON=C1c2ccccc2NC1=C3c4ccccc4NC3=O,0
CC(=O)ON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)C=C,0
CC(=O)ON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)F,0
CC(=O)ON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)Cl,1
CC(=O)ON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)Br,1
CC(=O)ON=C1c2ccccc2NC1=C3c4ccc(cc4NC3=O)I,1
CC(=O)ON=C1c2ccccc2NC1=C3c4cc(c(cc4NC3=O)Cl)Cl,1
Cc1cc2c(cc1Br)NC(=O)C2=C3C(=NOC(=O)C)c4ccccc4N3,1
CC(=O)ON=C1c2ccccc2NC1=C3c4cc(c(cc4NC3=O)Br)N(=O)=O,1
